candidate_id,doi,title,discovery_route_families,source_screen_status,source_access_status,study_type,taxon,primary_study_id,study_cluster_id,screen_exclusion_reason,coder_id,coding_date,coding_note
doi:10.1111/plb.70031,10.1111/plb.70031,Nectar or perfume as reward?,A_to_pollination,included_for_source_coding,abstract_only,observational,Cryptanthus bahianus,Cryptanthus_bahianus_plb70031,Cryptanthus_bahianus_plb70031_panel,,assistant_abstract_screen,2026-07-01,Descriptive cues and visitors; no direct trait-response test.
doi:10.1111/plb.70209,10.1111/plb.70209,Resilience of floral scent emission after florivory,A_to_antagonism;A_to_pollination;B_to_antagonism,included_for_source_coding,abstract_only,manipulation,multiple neotropical species,multiple_species_plb70209,multiple_species_plb70209_panel,,assistant_abstract_screen,2026-07-01,H-to-A study; no direct A/B-to-P/H route.
doi:10.14295/cs.v15.3504,10.14295/cs.v15.3504,Floral reproductive and pollination biology of Eugenia myrcianthes,A_to_pollination;B_to_pollination;joint_channels,excluded,abstract_only,observational,Eugenia myrcianthes,Eugenia_myrcianthes_cs_v15_3504,Eugenia_myrcianthes_cs_v15_3504_panel,descriptive_flower_biology_without_direct_trait_outcome_test,assistant_abstract_screen,2026-07-01,Descriptive flower biology only.
doi:10.26786/1920-7603(2023)740,10.26786/1920-7603(2023)740,Floral scent and pollination of Coreopsis lanceolata,A_to_pollination;B_to_pollination;joint_channels,excluded,abstract_only,observational,Coreopsis lanceolata,Coreopsis_lanceolata_2023_scent,Coreopsis_lanceolata_2023_scent_panel,descriptive_pollination_biology_without_direct_trait_outcome_test,assistant_abstract_screen,2026-07-01,Descriptive scent composition and visitors only.
doi:10.1111/j.1469-8137.2010.03410.x,10.1111/j.1469-8137.2010.03410.x,Pollinators exert natural selection on flower size and floral display,A_to_antagonism,unassessed,abstract_only,,,,,,assistant_abstract_screen,2026-07-01,Crossref text only says Featured paper; primary source needed.
doi:10.1111/j.1600-0706.2010.18585.x,10.1111/j.1600-0706.2010.18585.x,Sexual differences in flower defense and male-biased florivory,B_to_antagonism,included_for_source_coding,abstract_only,comparative,Eurya japonica,Eurya_japonica_2010_defense,Eurya_japonica_2010_defense_panel,,assistant_abstract_screen,2026-07-01,Flower-bud phenolics/tannins are linked to moth response.
doi:10.1111/oik.09708,10.1111/oik.09708,Range-wide floral trait variation reflects shifts in pollinator assemblages,A_to_pollination;B_to_pollination,included_for_source_coding,abstract_only,observational,"Castilleja purpurea complex; Castilleja sessiliflora",Castilleja_oik_09708,Castilleja_oik_09708_panel,,assistant_abstract_screen,2026-07-01,Trait-visitor relationships stated; trait-specific signs heterogeneous.
doi:10.26786/1920-7603(2023)719,10.26786/1920-7603(2023)719,Genotype and environment effects on sunflower nectar,A_to_pollination;joint_channels,included_for_source_coding,abstract_only,manipulation,Helianthus annuus,Helianthus_annuus_2023_nectar,Helianthus_annuus_2023_nectar_panel,,assistant_abstract_screen,2026-07-01,Bag treatment and nectar are not separable at abstract resolution.
doi:10.7717/peerj.6025,10.7717/peerj.6025,Flower visitation by hoverflies in a temperate network,B_to_pollination,included_for_source_coding,abstract_only,observational,multispecies grassland network,hoverfly_network_peerj6025,hoverfly_network_peerj6025_panel,,assistant_abstract_screen,2026-07-01,Trait-based visitation; discovery B label rejected.
doi:10.1002/j.1537-2197.1988.tb13514.x,10.1002/j.1537-2197.1988.tb13514.x,Pollination quality seed set and flower traits in Polemonium viscosum,joint_channels,included_for_source_coding,abstract_only,observational,Polemonium viscosum,Polemonium_viscosum_1988_quality,Polemonium_viscosum_1988_quality_panel,,assistant_abstract_screen,2026-07-01,Scent and size relate to outcross pollen quality context-dependently.
doi:10.1111/btp.13293,10.1111/btp.13293,Pollination of Chamaepantas nobilis by hawkmoths,joint_channels,included_for_source_coding,abstract_only,observational,Chamaepantas nobilis,Chamaepantas_nobilis_btp13293,Chamaepantas_nobilis_btp13293_panel,,assistant_abstract_screen,2026-07-01,Advertising traits described without a trait-variation response test.
doi:10.3389/fpls.2020.611877,10.3389/fpls.2020.611877,Flower production headspace volatiles pollen nutrients and florivory,B_to_antagonism,included_for_source_coding,abstract_only,comparative,Tanacetum vulgare,Tanacetum_vulgare_2020_chemotypes,Tanacetum_vulgare_2020_chemotypes_panel,,assistant_abstract_screen,2026-07-01,Floral chemotypes and beetle abundance; B role unresolved.
doi:10.1111/j.1365-2435.2009.01620.x,10.1111/j.1365-2435.2009.01620.x,Integrating floral scent pollination ecology and population genetics,B_to_pollination,excluded,abstract_only,review,multiple plant systems,,,review_or_framework_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,Review framework only.
doi:10.2307/1940540,10.2307/1940540,Regulation of seed-set in Polemonium viscosum,B_to_pollination,included_for_source_coding,abstract_only,comparative,Polemonium viscosum,Polemonium_viscosum_1988_resources,Polemonium_viscosum_1988_resources_panel,,assistant_abstract_screen,2026-07-01,Seed set is W by default; P-route needs full text.
