candidate_id,doi,title,discovery_route_families,source_screen_status,source_access_status,study_type,taxon,primary_study_id,study_cluster_id,screen_exclusion_reason,coder_id,coding_date,coding_note
doi:10.1242/jeb.092213,10.1242/jeb.092213,Three floral volatiles contribute to differential pollinator attraction in monkeyflowers,B_to_pollination,excluded,abstract_only,comparative,"Mimulus lewisii; Mimulus cardinalis",Mimulus_jeb_092213,Mimulus_jeb_092213_panel,attractive_floral_scent_not_independent_barrier,assistant_abstract_screen,2026-07-01,Volatiles are explicitly investigated as pollinator attractants.
doi:10.1111/gcb.13149,10.1111/gcb.13149,Drought and leaf herbivory influence floral volatiles and pollinator attraction,B_to_pollination,excluded,abstract_only,manipulation,multiple forb species,multiple_forbs_gcb13149,multiple_forbs_gcb13149_panel,abiotic_and_leaf_herbivory_to_signal_path_not_independent_barrier,assistant_abstract_screen,2026-07-01,Drought and leaf herbivory manipulate floral volatile signals; no pre-existing flower barrier predictor.
doi:10.1093/aob/mcag075,10.1093/aob/mcag075,Warming effects on floral volatile organic compounds and plant pollinator interactions in tropical ecosystems,B_to_pollination,excluded,abstract_only,review,multiple tropical plant systems,,,review_or_framework_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,Review only.
doi:10.18615/anadolu.1684107,10.18615/anadolu.1684107,Effect of Plant Volatile Components on Honey Bee Flower Visitation A Review,B_to_pollination,excluded,abstract_only,review,multiple plant systems,,,review_or_framework_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,Review only.
doi:10.1007/s11258-024-01444-3,10.1007/s11258-024-01444-3,Pollinator visitation patterns are influenced by floral volatile profiles,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone cannot establish B role.
doi:10.1007/s10886-007-9337-7,10.1007/s10886-007-9337-7,Pollinator and Herbivore Attraction to Cucurbita Floral Volatiles,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone cannot establish direction or barrier role.
doi:10.1007/bf00983216,10.1007/bf00983216,Floral volatiles from Clarkia breweri and C concinna,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone cannot establish role.
doi:10.1127/entomologia/2023/1991,10.1127/entomologia/2023/1991,Endophytic Beauveria bassiana modifies flowering phenology floral volatile profile and pollinator behaviour in melon,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone does not identify an independent flower barrier.
doi:10.1007/s10886-015-0597-3,10.1007/s10886-015-0597-3,Herbivory Increases Fruit Set in Silene latifolia,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; likely H-to-A/W but not classified from title alone.
doi:10.1007/s10886-018-0936-2,10.1007/s10886-018-0936-2,Identification of Floral Volatiles and Pollinator Responses in Kiwifruit Cultivars,B_to_pollination,unassessed,unassessed,,,,,,assistant_abstract_screen,2026-07-01,No Crossref deposited abstract available; title alone does not establish defensive role.
doi:10.1016/j.heliyon.2025.e44123,10.1016/j.heliyon.2025.e44123,ScentChrono computational pipeline for floral volatile rhythms and pollinator interactions,B_to_pollination,excluded,unassessed,other,multiple plant systems,,,computational_tool_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,Computational pipeline title does not identify a primary empirical trait outcome study.
